Episode,SAC,DDPG
0,-245.25737475570367,-270.4857916007039
1,-113.74053230095846,-264.39296075539863
2,-251.0594759475608,-115.2317842389318
3,-123.04704144988912,-294.4619760215253
4,-381.9386640687223,-134.947415604936
5,-128.99960151805874,-422.2151506098708
6,-125.72886474763516,-313.5450980419107
7,-0.8441945528827521,-220.86915508491273
8,-128.44754763279082,-127.00631104370541
9,-119.57115481296634,-228.2735446229877
10,-1.4056124213473267,-123.24758291822586
11,-232.8413151071569,-239.07140646255897
12,-134.64878624002634,-228.89318691105916
13,-0.7949712725904875,-801.6925239947499
14,-223.93371528893144,-3.745090150235896
15,-233.29319988735514,-265.4049497515057
16,-3.417836927614337,-0.874786467957597
17,-330.7658661934412,-1416.5406226040577
18,-239.0168135919832,-248.97593061259747
19,-123.96995838889266,-5.291643275729312
